GEOID,NAME,PR_Pop_AfricanAmerican_BlackE,PR_Pop_AfricanAmerican_BlackM,PR_Pop_WhiteE,PR_Pop_WhiteM,PR_Pop_AsianE,PR_Pop_AsianM,PR_Pop_BachelorsE,PR_Pop_BachelorsM,PR_Pop_NativeE,PR_Pop_NativeM,PR_Pop_EducationE,PR_Pop_EducationM,Asian_Percent,AfricanAmerican_Black_Percent,White_Percent,Bachelors_Percent
"72001956700","Census Tract 9567, Adjuntas Municipio, Puerto Rico",13,15,1708,282,0,13,193,65,2145,319,1331,196,0,0.606060606060606,79.6270396270396,14.5003756574004
"72005400100","Census Tract 4001, Aguadilla Municipio, Puerto Rico",23,37,2512,518,0,13,555,216,4221,726,2750,461,0,0.544894574745321,59.5119639895759,20.1818181818182
"72007230300","Census Tract 2303, Aguas Buenas Municipio, Puerto Rico",218,149,2311,477,0,13,321,115,2856,491,2001,341,0,7.63305322128852,80.9173669467787,16.0419790104948
"72013300500","Census Tract 3005, Arecibo Municipio, Puerto Rico",86,70,969,222,0,13,90,43,1359,257,878,184,0,6.32818248712288,71.3024282560706,10.250569476082
"72015280201","Census Tract 2802.01, Arroyo Municipio, Puerto Rico",1268,426,2101,488,0,13,469,134,4654,730,3046,477,0,27.245380318006,45.1439621830683,15.3972422849639
"72021030103","Census Tract 301.03, Bayamón Municipio, Puerto Rico",200,187,2265,425,0,13,595,215,4175,659,2283,346,0,4.79041916167665,54.251497005988,26.0621988611476
"72021030800","Census Tract 308, Bayamón Municipio, Puerto Rico",32,49,732,206,0,13,142,72,1091,251,718,173,0,2.93308890925756,67.0944087992667,19.7771587743733
"72021031032","Census Tract 310.32, Bayamón Municipio, Puerto Rico",119,64,1052,212,0,13,437,102,2178,324,1454,187,0,5.46372819100092,48.3011937557392,30.0550206327373
"72021031401","Census Tract 314.01, Bayamón Municipio, Puerto Rico",185,155,1905,377,0,13,308,108,2776,409,1728,248,0,6.664265129683,68.6239193083573,17.8240740740741
"72025200400","Census Tract 2004, Caguas Municipio, Puerto Rico",363,203,1888,382,19,31,450,145,2950,507,1801,294,0.644067796610169,12.3050847457627,64,24.9861188228762
"72025200600","Census Tract 2006, Caguas Municipio, Puerto Rico",477,212,2348,366,0,13,551,142,3618,498,2537,351,0,13.1840796019901,64.89773355445,21.718565234529
"72025201200","Census Tract 2012, Caguas Municipio, Puerto Rico",271,175,2235,464,0,13,208,80,2993,535,2044,306,0,9.05446040761777,74.6742398930839,10.1761252446184
"72025201600","Census Tract 2016, Caguas Municipio, Puerto Rico",216,172,1951,394,38,62,236,102,2704,467,1413,243,1.40532544378698,7.98816568047337,72.1523668639053,16.7020523708422
"72029100200","Census Tract 1002, Canóvanas Municipio, Puerto Rico",371,173,1225,346,11,19,275,104,2295,461,1324,241,0.479302832244009,16.1655773420479,53.3769063180828,20.7703927492447
"72031050211","Census Tract 502.11, Carolina Municipio, Puerto Rico",480,188,2113,382,0,13,476,133,3308,523,1985,274,0,14.5102781136638,63.8754534461911,23.9798488664987
"72031050841","Census Tract 508.41, Carolina Municipio, Puerto Rico",847,311,1101,314,0,13,107,60,2505,489,1708,301,0,33.812375249501,43.9520958083832,6.26463700234192
"72033980001","Census Tract 9800.01, Cataño Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72039955700","Census Tract 9557, Ciales Municipio, Puerto Rico",0,13,3014,562,0,13,120,78,3079,569,1757,288,0,0,97.8889249756414,6.82982356289129
"72045951900","Census Tract 9519, Comerío Municipio, Puerto Rico",74,91,2361,538,0,13,155,78,3452,522,1620,246,0,2.14368482039397,68.3951332560834,9.5679012345679
"72049990501","Census Tract 9905.01, Culebra Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72053150102","Census Tract 1501.02, Fajardo Municipio, Puerto Rico",256,81,1215,198,0,13,319,93,2140,293,1372,195,0,11.9626168224299,56.7757009345794,23.2507288629738
"72057270800","Census Tract 2708, Guayama Municipio, Puerto Rico",718,293,6255,891,0,19,934,268,8489,911,4601,587,0,8.4580044763812,73.6835905289198,20.2999347967833
"72061040101","Census Tract 401.01, Guaynabo Municipio, Puerto Rico",103,75,1207,382,0,13,183,94,1833,394,1381,314,0,5.61920349154392,65.848336061102,13.2512671976828
"72061040102","Census Tract 401.02, Guaynabo Municipio, Puerto Rico",113,76,975,217,0,13,64,39,1608,281,1026,157,0,7.0273631840796,60.634328358209,6.23781676413255
"72061040303","Census Tract 403.03, Guaynabo Municipio, Puerto Rico",49,40,1437,247,0,13,386,114,1735,294,1276,198,0,2.82420749279539,82.8242074927954,30.2507836990596
"72069180100","Census Tract 1801, Humacao Municipio, Puerto Rico",1335,438,1877,386,0,19,232,162,4986,714,3177,478,0,26.7749699157641,37.645407139992,7.30248662259994
"72071410500","Census Tract 4105, Isabela Municipio, Puerto Rico",450,255,4587,809,0,19,790,237,6822,933,3898,557,0,6.59630606860158,67.2383465259455,20.2668034889687
"72081958100","Census Tract 9581, Lares Municipio, Puerto Rico",11,18,1606,330,0,13,271,82,2082,353,1422,208,0,0.528338136407301,77.1373679154659,19.0576652601969
"72085190202","Census Tract 1902.02, Las Piedras Municipio, Puerto Rico",999,407,2415,466,0,13,261,107,3766,580,2258,414,0,26.5268189060011,64.1263940520446,11.5589016829052
"72089990001","Census Tract 9900.01, Luquillo Municipio, Puerto Rico",0,13,0,13,0,13,0,13,0,13,0,13,,,,
"72091570400","Census Tract 5704, Manatí Municipio, Puerto Rico",182,152,2734,498,0,13,263,98,3310,489,2032,249,0,5.49848942598187,82.5981873111783,12.9429133858268
"72097080100","Census Tract 801, Mayagüez Municipio, Puerto Rico",59,43,301,99,0,13,96,59,852,203,543,137,0,6.92488262910798,35.3286384976526,17.6795580110497
